NBA SALARIES,,,
,,,
Corey Maggette ................,"1,259,400",,
Harvey Grant ..................,"1,200,000",[released,10/99]
Johnny Taylor .................,"1,172,400",,
Matt Harpring .................,"1,163,760",,
Tim Legler ....................,"1,119,000",[released,9/99]
Anthony Johnson ...............,"1,100,000",,
Anthony Parker ................,"980,280",[released,1/00]
Pat Garrity ...................,"952,800",,
Ben Wallace ...................,"893,750",,
Rodrick Rhodes ................,"600,000",[released,10/99]
Monty Williams ................,"510,000",[minimum,"$572,500]"
Jeff McInnis ..................,"460,000",[released,10/99]
John Amaechi ..................,"385,000",,
Chucky Atkins .................,"385,000",,
Makhtar Ndiaye ................,"385,000",[released,9/99]
Miles Simon ...................,"385,000",[complete,d contract*]
Dominique Wilkins .............,"250,000",[released,6/99]
Earl Boykins ..................,"88,324",[released,12/99]
Kiwane Garris .................,"61,147",[released,1/00]
Louis Bullock .................,"10,000",[released,10/99]
,,,
----,,,
,,,
Philadelphia 76ers         Total,"$42,333,833 ",[adjusted,from listing]
Allen Iverson .................,"9,000,000",,
Theo Ratliff ..................,"7,031,250",,
Matt Geiger ...................,"6,889,520",,
Tyrone Hill ...................,"6,422,400",,
Toni Kukoc ....................,"4,500,000",,
Eric Snow .....................,"3,000,000",,
George Lynch ..................,"2,000,000",,
Aaron McKie ...................,"1,624,000",,
Nazr Mohammed .................,"690,960",,
Jumaine Jones .................,"684,000",,
Rick Mahorn ...................,"510,000",[complete,d contract*]
Jerald Honeycutt ..............,"460,000",[complete,d contract*]
Kevin Ollie ...................,"422,235",,
Todd MacCulloch ...............,"301,875",,
Rodrick Rhodes ................,"122,000",[released,11/99]
Stanley Roberts ...............,"102,824",[ejected,from league 11/99]
Doug Overton ..................,"100,000",[released,10/99]
Casey Shaw ....................,"25,000",[released,10/99]
Steve Goodrich ................,"4,529",[released,10/99]
[Ira Bowman signed 10-day contr,act (minimu,m) 2/00],
,,,
----,,,
,,,
Phoenix Suns               Total,"$46,543,302 ",,
Anfernee Hardaway .............,"9,000,000",,
Tom Gugliotta .................,"8,558,535",,
Jason Kidd ....................,"6,858,335",,
Cliff Robinson ................,"6,125,000",,
Luc Longley ...................,"5,175,000",,
Rex Chapman ...................,"3,150,000",,
Rodney Rogers .................,"2,000,000",,
Shawn Marion ..................,"1,546,320",,
Corie Blount ..................,"1,100,000",,
Todd Day ......................,"510,000",[minimum,"$635,000]"
