PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Cedric Henderson,CLE,25,7-Jun,225,Memphis,USA,1997,2,44,61,5.4,2.3,0.9,-6.2,3.10%,9.70%,17.10%,44.10%,8.30%
Charles Barkley,HOU,37,6-Jun,252,Auburn,USA,1984,1,5,20,14.5,10.5,3.2,-0.2,10.80%,22.30%,21.40%,53.40%,16.50%
Charles Oakley,TOR,36,9-Jun,245,Virginia Union,USA,1985,1,9,80,6.9,6.8,3.2,0.7,4.60%,17.60%,13.50%,45.90%,15.70%
Charles R. Jones,LAC,24,3-Jun,180,Long Island-Brooklyn,USA,Undrafted,Undrafted,Undrafted,56,3.4,1.1,1.7,-12.1,2.30%,6.90%,15.50%,44.50%,23.30%
Charlie Ward,NYK,29,2-Jun,190,Florida State,USA,1994,1,26,72,7.3,3.2,4.2,4.4,1.20%,10.20%,13.30%,55.90%,22.40%
Chauncey Billups,DEN,23,3-Jun,202,Colorado,USA,1997,1,3,13,8.6,2.6,3,-4.3,2.30%,8.40%,20.00%,46.50%,21.40%
Cherokee Parks,VAN,27,11-Jun,240,Duke,USA,1995,1,12,56,3,3.3,0.6,-7.2,7.10%,17.00%,10.40%,52.10%,6.80%
Chris Anstey,CHI,25,Jul-00,249,None,USA,1997,1,18,73,6,3.8,0.9,-3.3,9.00%,19.70%,22.10%,51.20%,12.60%
Chris Carr,CHI,26,6-Jun,220,Southern Illinois,USA,1995,2,56,57,9.3,3,1.5,-10.1,3.60%,11.60%,24.80%,48.20%,14.70%
Chris Childs,NYK,32,3-Jun,195,Boise State,USA,Undrafted,Undrafted,Undrafted,71,5.3,2.1,4,-1.5,1.10%,7.90%,13.60%,49.10%,28.40%
Chris Crawford,ATL,25,9-Jun,235,Marquette,USA,1997,2,50,55,4.6,1.8,0.6,-4,7.30%,7.00%,19.30%,47.60%,8.40%
Chris Dudley,NYK,35,11-Jun,260,Yale,USA,1987,4,75,47,1.2,2.9,0.1,-7.2,13.20%,16.30%,9.10%,34.90%,1.70%
Chris Gatling,DEN,32,10-Jun,220,Old Dominion,USA,1991,1,16,85,11.9,5.9,0.8,-1.2,8.00%,18.40%,25.60%,52.50%,6.80%
Chris Herren,DEN,24,2-Jun,190,Fresno State,USA,1999,2,33,45,3.1,1.2,2.5,-5.8,2.00%,6.50%,13.00%,49.80%,29.70%
Chris Mills,GSW,30,7-Jun,216,Arizona,USA,1993,1,22,20,16.1,6.2,2.4,-6.5,6.20%,12.10%,22.30%,48.90%,12.10%
Chris Mullin,IND,36,7-Jun,215,St. John's (NY),USA,1985,1,7,47,5.1,1.6,0.8,5.1,2.50%,10.60%,17.30%,59.00%,10.80%
Chris Webber,SAC,27,10-Jun,245,Michigan,USA,1993,1,1,75,24.5,10.5,4.6,2.3,6.20%,19.30%,27.80%,53.00%,20.70%
Chris Whitney,WAS,28,Jun-00,175,Clemson,USA,1993,2,47,82,7.8,1.6,3.8,-0.8,1.20%,7.30%,18.30%,55.40%,31.90%
Christian Laettner,DET,30,11-Jun,245,Duke,USA,1992,1,3,82,12.2,6.7,2.3,0.5,7.40%,16.30%,19.80%,53.90%,12.10%
Chuck Person,SEA,36,8-Jun,241,Auburn,USA,1986,1,4,37,2.8,1.4,0.6,-1.8,1.60%,14.00%,17.00%,40.30%,10.60%
Chucky Atkins,ORL,25,11-May,160,South Florida,USA,Undrafted,Undrafted,Undrafted,82,9.5,1.5,3.7,-0.6,1.20%,6.30%,23.70%,48.90%,31.90%
Chucky Brown,CHH,32,8-Jun,215,North Carolina State,USA,1989,2,43,63,5.3,2.7,1,0.5,3.30%,11.30%,16.30%,47.60%,9.90%
Clar. Weatherspoon,MIA,29,7-Jun,265,Southern Mississippi,USA,1992,1,9,78,7.2,5.8,1.2,1.8,8.60%,19.60%,17.30%,56.60%,10.00%
Clifford Robinson,PHX,33,10-Jun,225,Connecticut,USA,1989,2,36,80,18.5,4.5,2.8,5.1,3.80%,8.50%,22.60%,56.40%,13.40%
Corey Benjamin,CHI,22,6-Jun,205,Oregon State,USA,1998,1,28,48,7.7,1.8,1.1,-8.9,2.50%,8.30%,24.00%,47.90%,12.90%
Corey Maggette,ORL,20,6-Jun,218,Duke,USA,1999,1,13,77,8.4,3.9,0.8,-1.7,8.90%,12.70%,21.80%,55.30%,7.10%
Corie Blount,PHX,31,10-Jun,242,Cincinnati,USA,1993,1,25,38,2.8,3,0.3,5.6,11.50%,13.90%,12.50%,51.70%,3.20%
Corliss Williamson,SAC,26,7-Jun,245,Arkansas,USA,1995,1,13,76,10.3,3.8,1.1,-0.7,6.60%,9.10%,19.40%,54.90%,6.90%
Cory Alexander,DEN,27,1-Jun,190,Virginia,USA,1995,1,29,29,2.8,1.4,2,-4.8,2.30%,10.10%,17.80%,38.10%,30.50%
Cuttino Mobley,HOU,24,4-Jun,190,Rhode Island,USA,1998,2,41,81,15.8,3.6,2.6,-1.2,2.40%,8.80%,23.40%,54.50%,14.80%
PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Dale Davis,IND,31,11-Jun,230,Clemson,USA,1991,1,13,74,10,9.9,0.9,5,12.50%,20.90%,16.40%,53.70%,4.60%
Dale Ellis,CHH,39,7-Jun,205,Tennessee,USA,1983,1,9,42,4.2,1.3,0.3,5.7,2.30%,7.80%,14.40%,54.00%,3.80%
Damon Jones,DAL,23,3-Jun,185,Houston,USA,Undrafted,Undrafted,Undrafted,55,4.2,1,1.7,-6.3,1.80%,7.00%,17.90%,50.80%,24.20%
Damon Stoudamire,POR,26,10-May,171,Arizona,USA,1995,1,7,78,12.5,3.1,5.2,8.2,2.70%,7.50%,20.90%,50.80%,26.90%
